director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",Nick Robinson Katherine Langford Alexandra Shipp Greg Berlanti Comedy Drama Romance
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,Cloris Leachman Dennis Quaid Priscilla Shirer Jon Erwin Music Drama
José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,Rosamund Pike Daniel Brühl Vincent Cassel José Padilha Thriller Drama Crime
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,Melissa Leo Tessa Thompson La La Anthony Laurie Collyer Comedy
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,Sophie Turner Dylan McDermott Jack Kilmer Eric England Thriller Drama
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Comedy Drama,flower,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Comedy Drama
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,John Boyega Scott Eastwood Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,Bryan Cranston Edward Norton Bill Murray Wes Anderson Adventure Comedy Animation
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,James McAvoy Emily Blunt Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,Drama History,"paul, apostle of christ",James Faulkner Jim Caviezel Olivier Martinez Andrew Hyatt Drama History
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci Drama History
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,Amanda Delaney Justin Maina Sean Michael Gloria Ryan Justice Thriller
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,Taraji P. Henson Lyriq Bent Tika Sumpter Tyler Perry Thriller
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,David A. R. White John Corbett Shane Harper Michael Mason Drama
Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Science Fiction Action Thriller,gemini,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Science Fiction Action Thriller
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place,John Krasinski Emily Blunt Millicent Simmonds John Krasinski Science Fiction Thriller Horror
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama Crime,you were never really here,Joaquin Phoenix Ekaterina Samsonov Alex Manette Lynne Ramsay Thriller Drama Crime
John Curran,Jason Clarke,Kate Mara,Ed Helms,History Drama Thriller,chappaquiddick,Jason Clarke Kate Mara Ed Helms John Curran History Drama Thriller
"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,"Kristen Bell unknown unknown Drew Fellman, David Douglas Documentary"
Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete,Charlie Plummer Chloë Sevigny Travis Fimmel Andrew Haigh Drama Adventure
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,Helen Hunt William Hurt Erin Moriarty Sean McNamara Drama
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action Adventure Science Fiction
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,Lucy Hale Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
Chloé Zhao,Brady Jandreau,unknown,unknown,Western Drama,the rider,Brady Jandreau unknown unknown Chloé Zhao Western Drama
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,"Amy Schumer Michelle Williams Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,Jay Chandrasekhar Paul Soter Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Horror Thriller,traffik,Paula Patton Omar Epps Missi Pyle Deon Taylor Horror Thriller
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama Comedy,the house of tomorrow,Asa Butterfield Nick Offerman Ellen Burstyn Peter Livolsi Drama Comedy
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,unknown,Animation Drama Music,liz and the blue bird,Atsumi Tanezaki Nao Tōyama unknown Naoko Yamada Animation Drama Music
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,Ben Kingsley Theo James Jacqueline Bisset Per Fly Thriller Drama History
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Adventure Drama Action,kings,Halle Berry Daniel Craig unknown Deniz Gamze Ergüven Adventure Drama Action
"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,"Anna Faris Eugenio Derbez Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Comedy Drama,tully,Charlize Theron Mackenzie Davis Mark Duplass Jason Reitman Comedy Drama
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy
Xavier Beauvois,Nathalie Baye,unknown,unknown,Family Animation Fantasy Action Adventure,the guardians,Nathalie Baye unknown unknown Xavier Beauvois Family Animation Fantasy Action Adventure
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,Melissa McCarthy Maya Rudolph Molly Gordon Ben Falcone Comedy
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in,Gabrielle Union Billy Burke Richard Cabral James McTeigue Thriller Crime Action Horror
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,Saoirse Ronan Annette Bening Corey Stoll Michael Mayer Drama Romance Comedy
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Comedy Drama,terminal,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Comedy Drama
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Action Thriller Horror,revenge,Matilda Lutz Kevin Janssens Vincent Colombe Coralie Fargeat Action Thriller Horror
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,Ryan Reynolds Josh Brolin Zazie Beetz David Leitch Action Comedy Adventure
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club,Jane Fonda Candice Bergen Mary Steenburgen Bill Holderman Comedy Romance Drama
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,Ethan Hawke Amanda Seyfried Cedric Kyles Paul Schrader Drama
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,Wim Wenders (director); Pope Francis unknown unknown Wim Wenders Documentary
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,Will Arnett Natasha Lyonne Ludacris Raja Gosnell Adventure Crime Family Comedy
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure Action,solo: a star wars story,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure Action
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Drama,in darkness,Natalie Dormer Emily Ratajkowski Ed Skrein Anthony Byrne Drama
Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,Susanne Sachße Viva Ruiz Kembra Pfahler Bruce LaBruce Drama
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,"James Franco Suki Waterhouse Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy Drama,action point,Johnny Knoxville Chris Pontius unknown Tim Kirkby Comedy Drama
Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,Shailene Woodley Sam Claflin unknown Baltasar Kormákur Thriller Romance Adventure
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy Action
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,Morgan Neville (director); Fred Rogers unknown unknown Morgan Neville Documentary
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Thriller Science Fiction Action
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Action,tag,Ed Helms Jeremy Renner Jon Hamm Jeff Tomsic Comedy Action
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,Saoirse Ronan Billy Howle Emily Watson Dominic Cooke Drama Romance
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,John Travolta Kelly Preston Stacy Keach Kevin Connolly Crime Drama History Thriller
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom,Chris Pratt Bryce Dallas Howard Rafe Spall J.A. Bayona Action Adventure Science Fiction
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel,"Robert Pattinson Mia Wasikowska unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Comedy Western"
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Thriller Horror
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,Benicio del Toro Josh Brolin Isabela Moner Stefano Sollima Action Crime Drama Thriller
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Horror Action Thriller,the first purge,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Horror Action Thriller
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
Kevin MacDonald,Whitney Houston,unknown,unknown,Music Documentary,whitney,Whitney Houston unknown unknown Kevin MacDonald Music Documentary
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky Family Fantasy Comedy Animation
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Thriller,skyscraper,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",Joaquin Phoenix Rooney Mara Jonah Hill Gus Van Sant Comedy Drama
Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe,Woody Harrelson Tommy Lee Jones James Marsden Rob Reiner Drama History Thriller
Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,Lily James Amanda Seyfried Pierce Brosnan Ol Parker Comedy Romance
Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Action Thriller Crime,the equalizer 2,Denzel Washington Ashton Sanders Pedro Pascal Antoine Fuqua Action Thriller Crime
